fire	mei
go thou	na re to ma
do not go	ma tɕhut lero ba
give me	i le ko mi-lo
come here	hi le de mo
be silent	kə su lo
yes	no
no	məke
why	ki kəlo
how	ke te taŋe
how much?	kija ke no
how large?	kija ke kum tɕhau kəlo
how high?	kija ke seŋ kəlo
how deep?	kija ke tak pi kəlo
how far?	kija ke seŋ kəlo
how was it?	kəte kəlo
how are you?	kəte paŋ kəlo
thus	kəte kəlo
there	tɕi-li
where	kəli kal-lo
now	ro-tɕu
then	kuŋ-ka-thəle
when	əken-sa
today	əto-hi
tomorrow	səna-tol
to	da
from	da-gi
within	kəthuk
without	koŋ-jaŋ
between	ki-ruk
above	əduŋ
below	əpaŋ
